DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
22535,"Office Building",106,"Wigle Avenue",Kingsville,ON,Ontario,"N9Y 2J8",Lease,No,"Not required"
154134,"Office Building",13,"Government Road","Kirkland Lake",ON,Ontario,"P2N 2C9",Lease,"Work in progress","Work in progress"
21159,"Office Building",8,"Oakes Avenue","Kirkland Lake",ON,Ontario,"P2N 3R3",Lease,No,"Not required"
10518,"The John Norton Building",15-29,"Duke Street East",Kitchener,ON,Ontario,"N2H 1A2",Crown-owned,Yes,Yes
10525,"Corporation Square",30,"Duke Street West",Kitchener,ON,Ontario,"N2H 3W5",Lease,No,"Not required"
22602,"Market Square",25,"Frederick Street",Kitchener,ON,Ontario,"N2H 6P4",Lease,Yes,Yes
19295,"The Galleria",101,"Frederick Street",Kitchener,ON,Ontario,"N2H 6R2",Lease,Yes,Yes
10519,"Government of Canada Building",166,"Frederick Street",Kitchener,ON,Ontario,"N2H 2M4",Crown-owned,Yes,Yes
22599,"Office Building",4295,"King Street East",Kitchener,ON,Ontario,"N2P 0C6",Lease,No,"Not required"
71965,Office,50,"Queen Street North",Kitchener,ON,Ontario,"N2H 6P4",Lease,Yes,Yes
19297,"Forest Glen Shopping Centre",700,"Strasburg Road",Kitchener,ON,Ontario,"N2E 2M2",Lease,No,"Not required"
14444,Office,40,"Weber Street East",Kitchener,ON,Ontario,"N2H 6R3",Lease,Yes,Yes
23319,Office,215,"Talbot Street East",Leamington,ON,Ontario,"N8H 1N8",Lease,Yes,Yes
10136,Office,63,"Kent Street West",Lindsay,ON,Ontario,"K9V 2Y3",Lease,No,"Not required"
153576,Office,1195,"Wallace Avenve N",Listowel,ON,Ontario,"N4W 1M6",Lease,No,"Not required"
7379,"Office Building",1200,"Commissioners Road East",London,ON,Ontario,"N5Z 4R3",Lease,No,"Not required"
54415,"Dufferin Corporate Centre",130,"Dufferin Street",London,ON,Ontario,"N6A 1K6",Lease,No,"Not required"
8452,"Office Building",417,"Exeter Road",London,ON,Ontario,"N6E 2Z3",Lease,No,"Not required"
6380,"Office Building",78-84,"Meg Drive",London,ON,Ontario,"N6E 3T6",Lease,No,"Not required"
21162,"Cherryhill Village Mall",301,"Oxford Street West",London,ON,Ontario,"N6H 1S6",Lease,Yes,Yes
10888,"Lipton Building",120,"Queens Avenue",London,ON,Ontario,"N6A 5R8",Crown-owned,Yes,Yes
10889,"Dominion Public Building",457,"Richmond Street",London,ON,Ontario,"N6A 3E3",Crown-owned,Yes,Yes
14447,Office,465,"Richmond Street",London,ON,Ontario,"N6A 5P4",Lease,No,"Not required"
10899,"The Richard Pierpoint Building",451,"Talbot Street",London,ON,Ontario,"N6A 5C9",Crown-owned,Yes,Yes
21495,"Office Building",250,"York Street",London,ON,Ontario,"N6A 6K2",Lease,Yes,Yes
24332,"355 Wellington",355,"Wellington Street",London,ON,Ontario,"N6A 3N7",Lease,No,"Not required"
9558,"Peninsula Square",52,"Peninsula Road",Marathon,ON,Ontario,"P0E 2T0",Lease,No,"Not required"
71770,"Public Works and Government Services Canada-Architecture and Engineering Services Marine",3400,"14th Avenue",Markham,ON,Ontario,"L3R 0H7",Lease,No,"Not required"
19298,Plaza,5051,"Highway 7",Markham,ON,Ontario,"L3R 1N3",Lease,No,"Not required"
19301,"Office Building",140,"Renfrew Drive",Markham,ON,Ontario,"L3R 6B3",Lease,No,"Not required"
14449,Office,145,"Renfrew Drive",Markham,ON,Ontario,"L3R 9R6",Lease,No,"Not required"
8443,"Office Building",232,"Yorktech Drive",Markham,ON,Ontario,"L6G 1A6",Lease,No,"Not required"
54300,"Huronia Mall",9225,"Highway 93",Midland,ON,Ontario,"L4R 4K4",Lease,Yes,Yes
22598,"Office Building",433,"Steeles Avenue East",Milton,ON,Ontario,"L9T 1Y6",Lease,No,"Not required"
71920,Office,175,"Admiral Boulevard",Mississauga,ON,Ontario,"L5T 2N2",Lease,No,"Not required"
22258,Office,6900,"Airport Road",Mississauga,ON,Ontario,"L4V 1E8",Lease,Yes,Yes
8445,"Office Building",377,"Burnhamthorpe Road East",Mississauga,ON,Ontario,"L5A 3Y1",Lease,No,"Not required"
19305,"Office Building",430,"Courtney Park Drive",Mississauga,ON,Ontario,"L5T 2S5",Lease,No,"Not required"
54459,Office,1050,"Courtney Park Drive",Mississauga,ON,Ontario,"L5T 1S2",Lease,Yes,Yes
9421,"Public Storage",2535,"Derry Road",Mississauga,ON,Ontario,"L4T 1A1",Lease,No,Yes
71780,Building,3085,"Glen Erin Drive",Mississauga,ON,Ontario,"L5L 1J3",Lease,No,"Not required"
6165,"Office Building",6877,"Goreway Drive",Mississauga,ON,Ontario,"L4V 1L9",Lease,No,"Not required"
6375,"Office Building",5800,"Hurontario Street",Mississauga,ON,Ontario,"L5R 4B9",Lease,No,Yes
54302,"Orlando Building",5700,"Keaton Crescent",Mississauga,ON,Ontario,"L5R 3H5",Lease,Yes,Yes
6482,"Office Building",1980,"Matheson Boulevard East",Mississauga,ON,Ontario,"L4W 5N3",Lease,Yes,Yes
6840,"Office Building",2,"Robert Speck Parkway",Mississauga,ON,Ontario,"L4Z 1H8",Lease,Yes,Yes
11100,Office,154,"Ontario Road",Mitchell,ON,Ontario,"M0K 1N0",Lease,No,"Not required"
11502,"French River Dams",557,"Keso Road",Monetville,ON,Ontario,"P0M 2K0",Crown-owned,No,"Not required"
11523,"French River Dams residence and office buildings",557,"Keso Road",Monetville,ON,Ontario,"P0M 2K0",Crown-owned,Yes,Yes
54312,"Dale's Plaza",2,"Dairy Avenue",Napanee,ON,Ontario,"K7R 3T1",Lease,No,"Not required"
6156,"Office Building",280,"Armstrong Street","New Liskeard",ON,Ontario,"P1U 9X9",Lease,Yes,Yes
71945,"Satyr Building",6080,"McLeod Road","Niagara Falls",ON,Ontario,"L2G 7T4",Lease,No,"Not required"
21181,"Office Building",4318,"Portage Road","Niagara Falls",ON,Ontario,"L2E 6A4",Lease,No,"Not required"
10589,Office,4342,"Queen Street","Niagara Falls",ON,Ontario,"L2E 7J7",Lease,No,"Not required"
32239,"Old Court House",26,"Queen Street",Niagara-on-the-Lake,ON,Ontario,"L0S 1J0",Lease,Yes,Yes
71833,"Lot 408",599,"Victoria Street",Niagara-on-the-Lake,ON,Ontario,"L0S 1J0",Lease,No,"Not required"
14445,Office,187,"Booth Road","North Bay",ON,Ontario,"P1A 4K3",Lease,No,"Not required"
16746,"North Bay Jack Garland Airport",50,"Terminal Street","North Bay",ON,Ontario,"P1B 8G2",Lease,Yes,Yes
54439,"Canada Place",107,"Shirreff Avenue","North Bay",ON,Ontario,"P1B 7K8",Lease,No,"Not required"
54323,"Century Centre Plaza Limited",180,"Shirreff Avenue","North Bay",ON,Ontario,"P1B 7K9",Lease,No,"Not required"
15562,"Trafalgar Woods Plaza",117,"Cross Avenue",Oakville,ON,Ontario,"L6J 2W7",Lease,No,"Not required"
153807,"Office Building",125,"Cross Avenue",Oakville,ON,Ontario,"L6J 2W8",Lease,"Work in progress","Work in progress"
5408,"Office Building",210,Broadway,Orangeville,ON,Ontario,"L9W 5G4",Lease,No,"Not required"
71911,Office,50,"Andrew Street",Orillia,ON,Ontario,"L3V 7T5",Lease,No,"Not required"
11094,"Government of Canada Building",25,"Peter Street North",Orillia,ON,Ontario,"L3V 4Y7",Crown-owned,Yes,Yes
20674,"Office Building",55,"Athol Street",Oshawa,ON,Ontario,"L1H 1J8",Lease,Yes,Yes
19311,"Office Building",200,"John Street West",Oshawa,ON,Ontario,"L1J 2B4",Lease,Yes,Yes
23626,"40 King Street West",40,"King Street",Oshawa,ON,Ontario,"L1H 1A4",Lease,Yes,Yes
18048,"1350 16th St E, Owen Sound, ON",1350,"16th Street East","Owen Sound",ON,Ontario,"N4K 6N7",Lease,Yes,Yes
11452,"Government of Canada Building",74,"James Street","Parry Sound",ON,Ontario,"P2A 1T8",Crown-owned,Yes,Yes
54631,"Pembroke City Centre",141,"Lake Street",Pembroke,ON,Ontario,"K8A 5M1",Lease,No,"Not required"
11800,Office,1100,"Pembroke Street",Pembroke,ON,Ontario,"K8A 6Y7",Lease,Yes,Yes
19314,"The Factory",40,"Sunset Boulevard",Perth,ON,Ontario,"K7H 2Y4",Lease,No,"Not required"
21164,"Office Building",1161,"Crawford Drive",Peterborough,ON,Ontario,"K9J 6X6",Lease,No,"Not required"
21158,"Office Building",215-219,"George Street North",Peterborough,ON,Ontario,"K9J 3G7",Lease,No,"Not required"
71836,"Marks and Spencers Store",163,"Simcoe Street",Peterborough,ON,Ontario,"K9H 2H5",Lease,Yes,Yes
21718,"Office Building",310,"Water Street",Peterborough,ON,Ontario,"K9J 3C7",Lease,Yes,Yes
25342,"Office Building",1,"Pitt Street",Picton,ON,Ontario,"K0K 2T0",Lease,Yes,Yes
71839,Office,60,"Van Edward Drive","Port Perry",ON,Ontario,"L9L 1G3",Lease,No,"Not required"
19317,"Office Building",350,"Raglan Street",Renfrew,ON,Ontario,"K7V 1R7",Lease,No,"Not required"
71918,Office,35,"Beresford Drive","Richmond Hill",ON,Ontario,"L4B 4M3",Lease,No,"Not required"
71791,"Fono Building",23,"East Wilmot Street","Richmond Hill",ON,Ontario,"L4B 1A3",Lease,No,"Not required"
2574,Office,5,"Via Renzo Drive","Richmond Hill",ON,Ontario,"L4S 0B6",Lease,No,"Not required"
10816,"Government of Canada Building",105,"Christina Street South",Sarnia,ON,Ontario,"N7T 2M6",Crown-owned,Yes,Yes
54421,"Elkhart Industries Mall",1355,"Confederation Street",Sarnia,ON,Ontario,"N7S 4T2",Lease,No,"Not required"
14458,Office,520,"Exmouth Street",Sarnia,ON,Ontario,"N7T 8B1",Lease,No,"Not required"
19589,"Office Building",529,"Exmouth Street",Sarnia,ON,Ontario,"N7T 5P6",Lease,No,"Not required"
54105,"Government of Canada Building",22,"Bay Street","Sault Ste. Marie",ON,Ontario,"P6A 5S2",Crown-owned,No,"Not required"
19318,"Office Building",8,"Queen Street East","Sault Ste. Marie",ON,Ontario,"P6A 1Y3",Lease,No,"Not required"
71955,"Great Lakes Forestry Centre",1219,"Queen Street East","Sault Ste. Marie",ON,Ontario,"P6A 2E5",Lease,Yes,Yes
71805,Office,5,"Queensway Drive East",Simcoe,ON,Ontario,"N3Y 5K2",Lease,No,"Not required"
12165,"Government of Canada Building",45,"Prince Street","Sioux Lookout",ON,Ontario,"P8T 1A1",Crown-owned,Yes,Yes
10024,Office,91,"Cornelia Street West","Smiths Falls",ON,Ontario,"K7A 5L3",Lease,No,"Not required"
10414,"The Laura Secord Building",32,"Church Street","St. Catharines",ON,Ontario,"L2R 3B9",Crown-owned,Yes,Yes
21412,"Pen Centre Shopping Plaza",221,"Glendale Avenue","St. Catharines",ON,Ontario,"L2T 2K9",Lease,Yes,Yes
15664,Office,350,"Ontario Street","St. Catharines",ON,Ontario,"L2R 5L8",Lease,No,Yes
7383,"Henley Square Plaza",395,"Ontario Street","St. Catharines",ON,Ontario,"L2N 7N6",Lease,No,"Not required"
19323,Plaza,1010,"Talbot Street","St. Thomas",ON,Ontario,"N5P 4N2",Lease,No,"Not required"
16744,"Office Building",61,"Lorne Avenue East",Stratford,ON,Ontario,"N5A 6S4",Lease,No,"Not required"
23617,Office,225,"Holditch Street","Sturgeon Falls",ON,Ontario,"P0H 2G0",Lease,No,"Not required"
71846,"Harbour Square Phase I",975,"Alloy Drive","Thunder Bay",ON,Ontario,"P7B 6N5",Lease,No,"Not required"
13425,Office,977,"Alloy Drive","Thunder Bay",ON,Ontario,"P7B 5Z8",Lease,No,"Not required"
9923,"Harbour Square Phase II",979,"Alloy Drive","Thunder Bay",ON,Ontario,"P7B 5Z8",Lease,No,"Not required"
22682,"Warehouse Building",886,"Alloy Place","Thunder Bay",ON,Ontario,"P7B 6E6",Lease,No,"Not required"
11949,"Government of Canada Building",221,"Archibald Street North","Thunder Bay",ON,Ontario,"P7C 3Y3",Crown-owned,Yes,Yes
19371,"Office Building",981,"Balmoral Street","Thunder Bay",ON,Ontario,"P7C 2X3",Lease,No,"Not required"
11966,"Government of Canada Building",33,"Court Street","Thunder Bay",ON,Ontario,"P7A 4T4",Crown-owned,Yes,Yes
11950,"Government of Canada Building [National Revenue]",201,"May Street North","Thunder Bay",ON,Ontario,"P7C 3P4",Crown-owned,No,"Not required"
19325,"Office Building",1123,"Premier Way","Thunder Bay",ON,Ontario,"P7B 0A2",Lease,No,"Not required"
11951,"Government of Canada Building",130,"Syndicate Avenue South","Thunder Bay",ON,Ontario,"P7E 1C7",Crown-owned,Yes,Yes
71953,"The Livingston Centre",96,"Tillson Avenue",Tillsonburg,ON,Ontario,"N4G 3A1",Lease,No,"Not required"
11718,"Government of Canada Building",120,"Cedar Street. South",Timmins,ON,Ontario,"P4N 2G8",Crown-owned,No,"Not required"
19372,"Office Building",179,"Third Avenue",Timmins,ON,Ontario,"P4N 1C7",Lease,No,"Not required"
25794,"Office Building",120/101,"Adelaide St., W./Richmond St., W.",Toronto,ON,Ontario,"M5H 1L6",Lease,Yes,Yes
6297,"Office Building",255,"Attwell Drive",Toronto,ON,Ontario,"M9W 7G2",Lease,Yes,Yes
71928,"Minto Plaza",655,"Bay Street",Toronto,ON,Ontario,"M5G 2K4",Lease,No,"Not required"
22589,"Office Building",425,"Bloor Street East",Toronto,ON,Ontario,"M4W 3R4",Lease,Yes,Yes
21415,"Office Building",559,"College Street",Toronto,ON,Ontario,"M6G 1A9",Lease,Yes,Yes
54078,"Environment Canada Building",4905,"Dufferin Street",Toronto,ON,Ontario,"M3H 5T4",Crown-owned,Yes,Yes
54261,"Dundas Kipling Centre",5343,"Dundas Street West",Toronto,ON,Ontario,"M9B 1B1",Lease,No,"Not required"
153367,"Office Building",1118-1120,"Finch Avenue West",Toronto,ON,Ontario,"M3J 3J4",Lease,No,"Not required"
11103,"Food Inspection Consolidation",1122-24,"Finch Avenue West",Toronto,ON,Ontario,"M3J 2E2",Lease,No,"Not required"
9972,"Dominion Public Building",1,"Front Street West",Toronto,ON,Ontario,"M5J 1C4",Crown-owned,Yes,Yes
32358,"Office Sol Gen",277,"Front Street West",Toronto,ON,Ontario,"M5V 2X4",Lease,Yes,Yes
15662,"Gerrard Square",1000,"Gerrard Street East",Toronto,ON,Ontario,"M4M 3G6",Lease,No,"Not required"
54435,"Standard Life Centre",121,"King Street West",Toronto,ON,Ontario,"M5H 3T9",Lease,Yes,Yes
6454,"Office Building",130,"King Street West",Toronto,ON,Ontario,"M5H 2A2",Lease,Yes,"Work in progress"
11116,"Ministers Office",150,"King Street West",Toronto,ON,Ontario,"M5H 1J9",Lease,Yes,Yes
21598,"Kipling Health Medical Centre",2291,"Kipling Avenue",Toronto,ON,Ontario,"M9W 4L6",Lease,No,"Not required"
104812,"Canadian Atmospheric Research Lab",4905,"Lab Annex 4905 Dufferin Street",Toronto,ON,Ontario,"M3H 5T4",Crown-owned,No,"Not required"
71933,"Lawrence Park",700,"Lawrence Aveneue West",Toronto,ON,Ontario,"M4V 3B4",Lease,No,"Not required"
9663,"Office Building",2240,"Midland Avenue",Toronto,ON,Ontario,"M1P 4T3",Lease,No,"Not required"
25793,"Office Building",325,"Milner Street",Toronto,ON,Ontario,"M1B 5N1",Lease,No,"Not required"
13768,"Judicial Complex",180,"Queen Street West",Toronto,ON,Ontario,"M5H 3V7",Lease,No,"Not required"
9551,"Office Building",135,"Queens Plate Drive",Toronto,ON,Ontario,"M9W 6V1",Lease,Yes,Yes
6601,"Office Building",385,"Rexdale Boulevard",Toronto,ON,Ontario,"M9W 1R9",Lease,No,"Not required"
9420,"Office Building",25,"Sheppard Avenue West",Toronto,ON,Ontario,"M2N 6S6",Lease,No,"Not required"
9976,"Arthur Meighen Building",25,"St. Clair Avenue East",Toronto,ON,Ontario,"M4T 3A4",Crown-owned,Yes,Yes
14076,"Office Building",31,"Tapscott Road",Toronto,ON,Ontario,"M1V 2B3",Lease,No,"Not required"
10120,"Agriculture Canada",165,"The Queensway Queensway",Toronto,ON,Ontario,"M8Y 1H8",Lease,"Work in progress","Work in progress"
54444,"Canada Life Centre",55,"Town Centre Court",Toronto,ON,Ontario,"M1P 4X4",Lease,No,"Not required"
54095,"Canada Centre",200,"Town Centre Court",Toronto,ON,Ontario,"M1P 4X8",Crown-owned,Yes,Yes
25792,"Office Building",2550,"Victoria Park",Toronto,ON,Ontario,"M2J 5A9",Lease,Yes,Yes
71917,"Arcade Office Building",74,"Victoria Street",Toronto,ON,Ontario,"M5C 2A5",Lease,Yes,Yes
54463,"Canadian General Investments",110,"Yonge Street",Toronto,ON,Ontario,"M5C 1T8",Lease,Yes,Yes
71942,"Yonge Richmond Centre",151,"Yonge Street",Toronto,ON,Ontario,"M5C 2W7",Lease,No,Yes
25832,"Office Building",415,"Yonge Street",Toronto,ON,Ontario,"M5C 1T8",Lease,Yes,Yes
10093,"Joseph Shepard Building",4900,"Yonge Street",Toronto,ON,Ontario,"M2N 6A6",Lease,Yes,Yes
71828,"Royal Bank Building",5001,"Yonge Street",Toronto,ON,Ontario,"M2N 5P1",Lease,No,"Not required"
25156,"Office Building",55,"York Street",Toronto,ON,Ontario,"M5J 1R7",Lease,Yes,Yes
71776,"Employment Centre",50,"Dundas Street West",Trenton,ON,Ontario,"K8V 3P2",Lease,No,"Not required"
21169,"Office Building","15 - 17","Front Street",Trenton,ON,Ontario,"K8V 4N3",Lease,No,"Not required"
22637,"Office Building",180,"Bass Pro Mills Drive",Vaughan,ON,Ontario,"L9X 1X2",Lease,No,"Not required"
54454,"Saugeen Business Park",200,"McNabb Street",Walkerton,ON,Ontario,"N0G 2V0",Lease,No,"Not required"
20897,Office,19,"Ontario Road",Walkerton,ON,Ontario,"N0G 2V0",Lease,No,"Not required"
7387,"Wallaceburg Employment Resource Centre",786,"Dufferin Street",Wallaceburg,ON,Ontario,"N8A 2V3",Lease,Yes,Yes
23158,"Office Building",139,"Northfield Drive",Waterloo,ON,Ontario,"N2L 5A6",Lease,No,"Not required"
5618,"Board of Education Building",250,"Thorold Road West",Welland,ON,Ontario,"L3C 3W3",Lease,Yes,Yes
12240,"Passport Office",1615,"Dundas Street East",Whitby,ON,Ontario,"L1N 2L1",Lease,Yes,Yes
13428,Office,400,"City Hall Square East",Windsor,ON,Ontario,"N9A 7K6",Lease,No,"Not required"
54357,"Bank of Commerce Building",100,"Ouellette Avenue",Windsor,ON,Ontario,"N9A 6T3",Lease,No,"Not required"
10727,"Paul Martin Building",185,"Ouellette Avenue",Windsor,ON,Ontario,"N9A 4H7",Crown-owned,No,Yes
22716,"Office Building",1500,"Ouellette Avenue",Windsor,ON,Ontario,"N8X 1K7",Lease,No,"Not required"
6472,"Office Building",2500,"Ouellette Avenue",Windsor,ON,Ontario,"N9A 4H7",Lease,No,"Not required"
23352,"Office Building",1,"Riverside Drive",Windsor,ON,Ontario,"N9A 5K3",Lease,No,"Not required"
10729,"Government of Canada Building",441,"University Avenue",Windsor,ON,Ontario,"N9E 5P9",Crown-owned,Yes,Yes
10584,Building,1250,"Walker Road",Windsor,ON,Ontario,"N8Y 4T4",Lease,No,"Not required"
10142,"Parole Office",2090,"Wyandotte Avenue East",Windsor,ON,Ontario,"N8Y 5B2",Lease,No,"Not required"
14078,Office,1401,"Dundas Street",Woodstock,ON,Ontario,"N4S 8X8",Lease,No,"Not required"
13429,Office,959,"Dundas Street West",Woodstock,ON,Ontario,"N4S 1H2",Lease,No,"Not required"
17230,"CBC Building",16,"Mitik Street","Cambridge Bay",NU,Nunavut,"X0B 0C0",Lease,No,"Not required"
,Building,4004B,"Anuri Street",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
153194,Building,4012,"Anuri Street",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
,Building,755,"Ben Ell Drive",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
7251,"Qimugjuk Government of Canada Building",969,"Federal Road",Iqaluit,NU,Nunavut,"X0A 0H0",Crown-owned,No,"Not required"
12857,"Building 1554",1554,"Federal Road",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
,Building,729,"Iglulik Drive",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
7625,"The Governor 1093",1093,"Ikaluktuutiak Drive",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
21559,"Inuksugait Plaza, Phase IV",1104,"Ikaluktuutiak Drive",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
13642,"Inuksugait Plaza, Building 1104 B, Phase II",1104-B,"Ikaluktuutiak Drive",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
22767,"Structure 022767",933,"Mivvik Street",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
,Building,1085,"Mivvik Street",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
,Building,209,"Niaqungutsiariaq Rd",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
,Building,287,"Nipisa Street",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
25933,Building,5004E,"Pingua Street",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
,Building,5141,"Qajisarvik St",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
153513,Building,5113,"Qaqqaliaq St",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
,Building,5123,"Qaqqaliaq St",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
24141,Building,607,"Queen Elizabeth Way",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
19979,"Kamptik Building",630,"Queen Elizabeth Way",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
,Building,5324C,"Qulliq Court",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,"Work in progress","Work in progress"
22806,"Structure 022806",5052,"Takuminatuq Avenue",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
5598,"Building 1328",1328,"Ulu Lane",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
54953,"Building 1043",1043,"Woodhouse Street",Iqaluit,NU,Nunavut,"X0A 0H0",Lease,No,"Not required"
7424,"Ilaanilu Centre",1,"Amagok Street",Kugluktuk,NU,Nunavut,"X0B 0E0",Lease,No,"Not required"
21836,Building,164-1,"Mivvik Avenue","Rankin Inlet",NU,Nunavut,"X0C 0G0",Lease,No,"Not required"
152947,Building,18,"Sivulliq Avenue","Rankin Inlet",NU,Nunavut,"X0C 0G0",Lease,"Work in progress","Work in progress"
,Building,20-3,"avenue Tulimaaq","Rankin Inlet",NU,Nunavut,"X0C 0G0",Lease,"Work in progress","Work in progress"
21689,"22 - 11 Street, Brandon, MB",22,"11th Street",Brandon,MB,Manitoba,"R7A 4J3",Lease,No,"Not required"
12455,"Government of Canada Building Brandon Federal Building",1039,"Princess Avenue",Brandon,MB,Manitoba,"R7A 4J5",Crown-owned,Yes,Yes
20939,"Office Building",181,"1st Avenue Northeast",Dauphin,MB,Manitoba,"R7N 1A6",Lease,No,"Not required"
13612,"Office Building",302,"Main Street North",Dauphin,MB,Manitoba,"R7N 1K7",Lease,No,"Not required"
6891,"Office Building",111,"Main Street","Flin Flon",MB,Manitoba,"R8A 1J9",Lease,No,"Not required"
137950,"Warehouse (St. Andrews Lock and Dam) (east side)",625,"River Road",Lockport,MB,Manitoba,"R1A 3C7",Crown-owned,No,Yes
137951,"Lock House at St. Andrews Lock and Dam",625,"River Road",Lockport,MB,Manitoba,"R1A 3C7",Crown-owned,No,Yes
137952,"Power House at St. Andrews Lock and Dam",625,"River Road",Lockport,MB,Manitoba,"R1A 3C7",Crown-owned,No,Yes
12718,"Main Office/Warehouse St. Andrews Lock and Dam",625,"River Road",Lockport,MB,Manitoba,"R1A 3C7",Crown-owned,No,Yes
33186,"Office Building",158,"Stephen Street",Morden,MB,Manitoba,"R0G 1J0",Lease,No,"Not required"
13613,"Office Building",51,"Rogers Street","Notre Dame de Lourdes",MB,Manitoba,"R0G 1M0",Lease,No,"Not required"
46425,"Office Building",1016,"Saskatchewan Avenue East","Portage la Prairie",MB,Manitoba,"R1N 0K1",Lease,No,"Not required"
19452,"Anderson Building",51,"Main Street",Selkirk,MB,Manitoba,"R1A 1P9",Lease,No,"Not required"
23829,Steinbach,323,"Main Street",Steinbach,MB,Manitoba,"R0A 2A0",Lease,No,"Not required"
15998,"427 Sabourin Street",427,"Rue Sabourin Street",St-Pierre-Jolys,MB,Manitoba,"R0A 1V0",Lease,No,"Not required"
14928,"Kelsey Trail Development",355,"Kelsey Trail","Swan River",MB,Manitoba,"R0L 1Z0",Lease,No,"Not required"
21488,"Uptown Mall",333,"Edwards Avenue","The Pas",MB,Manitoba,"R9A 1K3",Lease,No,"Not required"
6589,"Office Building",111,"Fischer Avenue","The Pas",MB,Manitoba,"R9A 1K4",Lease,No,"Not required"
30844,"20 Berens Road",20,"Berens Road",Thompson,MB,Manitoba,"R8N 1X2",Lease,No,"Not required"
26699,Building,117,Commercial,Thompson,MB,Manitoba,"R8N 1T1",Lease,No,"Not required"
151745,Building,"40 A","Moak Crescent",Thompson,MB,Manitoba,"R8N 2B7",Lease,No,"Not required"
19451,Building,"40 B","Moak Crescent",Thompson,MB,Manitoba,"R8N 2B7",Lease,No,"Not required"
153739,Building,265,"Perry street",Winkler,MB,Manitoba,"R6W 0K9",Lease,"Work in progress","Work in progress"
10160,"Office/Warehouse Building",75,"Bentall Street",Winnipeg,MB,Manitoba,"R2X 2Z7",Lease,No,"Not required"
15170,"41 820 Berry Street, Winnipeg",820,"Berry Street",Winnipeg,MB,Manitoba,"R3H 1H2",Lease,Yes,Yes
46350,"The Investors Building",280,"Broadway Avenue",Winnipeg,MB,Manitoba,"R3C 0R8",Lease,Yes,Yes
22564,"Imperial Broadway Tower",363,"Broadway Avenue",Winnipeg,MB,Manitoba,"R3C 3N9",Lease,Yes,Yes
33191,"Building 'C'",550,"Century Street",Winnipeg,MB,Manitoba,"R3H 0Y1",Lease,No,Yes
104160,"Royal Canadian Mounted Police Duplex 1 Units 1 and 2",734-736,"Dominion Street",Winnipeg,MB,Manitoba,"R3G 2N4",Crown-owned,Yes,Yes
104162,"Royal Canadian Mounted Police Duplex 2 Units 1 and 2",744-746,"Dominion Street",Winnipeg,MB,Manitoba,"R3G 2N4",Crown-owned,Yes,Yes
104164,"Royal Canadian Mounted Police Medical Centre Duplex 3 Units 1 and 2",754-756,"Dominion Street",Winnipeg,MB,Manitoba,"R3G 2N4",Crown-owned,No,Yes
12498,"City Place",234,"Donald Street",Winnipeg,MB,Manitoba,"R3C 4A5",Lease,Yes,Yes
12624,"MacDonald Building",344,"Edmonton Street",Winnipeg,MB,Manitoba,"R3B 2L4",Crown-owned,Yes,Yes
26342,"Ellice Office Building",400,"Ellice Avenue",Winnipeg,MB,Manitoba,"R3H 3M3",Lease,"Work in progress","Work in progress"
46421,"Ellice Office Building",1680,"Ellice Avenue",Winnipeg,MB,Manitoba,"R3H 0Z2",Lease,No,"Not required"
25657,Building,125,"Fennel Street",Winnipeg,MB,Manitoba,"R3T 0M6",Lease,No,"Not required"
11135,"Winnipeg Square Car Park",299,"Fort Street",Winnipeg,MB,Manitoba,"R3C 1E5",Lease,Yes,Yes
